student_id,course_id,rating
861,2-speed-it,1
3773,2-speed-it,5
3093,2-speed-it,5
467,2-speed-it,5
4427,2-speed-it,5
3445,2-speed-it,3
3172,2-speed-it,5
2920,2-speed-it,5
131,2-speed-it,5
1686,2-speed-it,5
770,2-speed-it,5
2392,2-speed-it,5
2434,2-speed-it,3
1185,2-speed-it,5
4556,2-speed-it,5
3386,2-speed-it,4
4118,2-speed-it,5
4844,2-speed-it,5
2905,2-speed-it,2
475,2-speed-it,4
1083,2-speed-it,3
2559,2-speed-it,5
2048,2-speed-it,5
2748,2-speed-it,4
976,2-speed-it,5
1807,20cnwm,5
190,20cnwm,5
2735,2d-cad,5
3006,2d-cad,5
4659,2d-cad,5
1900,2d-cad,5
1268,2d-cad,5
1529,2d-cad,5
3203,2d-cad,5
3557,2d-cad,1
3891,2d-cad,5
647,2d-cad,5
2889,2d-cad,5
2436,2d-cad,5
601,2d-cad,5
2364,2d-cad,5
2062,2d-cad,5
242,2d-cad,5
2042,2d-cad,5
2825,2d-cad,5
2613,2d-cad,5
1364,2d-cad,5
1479,2d-cad,5
2557,2d-cad,5
776,2d-cad,5
4015,2d-cad,4
35,2d-cad,5
3153,3d-cad,4
1956,3d-cad,5
1586,3d-cad,5
3944,3d-cad,5
3074,3d-cad,4
1022,3d-cad,5
3462,3d-cad,5
2614,3d-cad,5
3844,3d-cad,5
1501,3d-cad,5
4799,3d-cad,5
162,3d-cad,5
4298,3d-cad,5
1982,3d-cad,4
996,3d-cad,5
4912,3d-cad,5
3343,3d-cad,5
4552,3d-cad,5
3799,3d-cad,5
1276,3d-printing,4
1017,3d-printing,5
338,3d-printing,5
879,3d-printing,5
1077,3d-printing,5
4888,3d-printing,5
3994,3d-printing,5
4860,3d-printing,5
380,3d-printing,5
493,3d-printing,4
2063,3d-printing-applications,5
3885,3d-printing-applications,5
65,3d-printing-applications,5
2569,3d-printing-applications,5
2028,3d-printing-applications,5
2696,3d-printing-applications,4
1496,3d-printing-applications,5
392,3d-printing-applications,5
4515,3d-printing-applications,5
4475,3d-printing-applications,5
3562,3d-printing-applications,5
2279,3d-printing-applications,5
3100,3d-printing-applications,3
201,3d-printing-applications,1
4876,3d-printing-applications,4
3105,3d-printing-applications,5
4599,3d-printing-applications,3
2455,3d-printing-applications,5
3646,3d-printing-applications,5
805,3d-printing-applications,4
2732,3d-printing-applications,5
2774,3d-printing-applications,5
1571,3d-printing-applications,5
2691,3d-printing-applications,5
3841,3d-printing-applications,5
1029,3d-printing-applications,3
503,3d-printing-applications,3
4494,3d-printing-applications,5
871,3d-printing-applications,5
4489,3d-printing-applications,3
207,3d-printing-applications,3
1485,3d-printing-applications,5
864,3d-printing-applications,3
2791,3d-printing-applications,5
564,3d-printing-applications,5
4192,3d-printing-applications,5
1758,3d-printing-applications,2
1679,3d-printing-applications,1
3243,3d-printing-applications,4
4637,3d-printing-applications,5
1060,3d-printing-applications,5
1723,3d-printing-applications,4
3315,3d-printing-applications,5
3158,3d-printing-applications,5
2626,3d-printing-applications,5
2730,3d-printing-applications,5
1598,3d-printing-applications,1
3061,3d-printing-revolution,5
2694,3d-printing-revolution,5
4892,3d-printing-revolution,5
3628,3d-printing-revolution,5
1364,3d-printing-revolution,5
1982,3d-printing-revolution,5
1664,3d-printing-revolution,5
1530,3d-printing-revolution,5
2039,3d-printing-revolution,5
3303,3d-printing-revolution,5
2238,3d-printing-revolution,5
1307,3d-printing-revolution,5
4030,3d-printing-revolution,5
2676,3d-printing-revolution,5
1283,3d-printing-revolution,4
710,3d-printing-revolution,5
4745,3d-printing-revolution,4
4414,3d-printing-revolution,5
3749,3d-printing-revolution,5
4780,3d-printing-revolution,4
664,3d-printing-revolution,5
1999,3d-printing-revolution,5
3446,3d-printing-revolution,5
3744,3d-printing-revolution,5
1496,3d-printing-revolution,5
3305,3d-printing-revolution,5
3764,3d-printing-revolution,1
1854,3d-printing-revolution,4
4660,3d-printing-revolution,5
1292,3d-printing-revolution,5
3582,3d-printing-revolution,5
3458,3d-printing-revolution,5
1637,3d-printing-revolution,3
3697,3d-printing-revolution,5
3000,3d-printing-revolution,5
3153,3d-printing-revolution,5
699,3d-printing-revolution,5
2161,3d-printing-revolution,5
4098,3d-printing-revolution,5
4738,3d-printing-revolution,5
855,3d-printing-revolution,5
3475,3d-printing-revolution,5
1708,3d-printing-revolution,5
2778,3d-printing-revolution,5
1734,3d-printing-revolution,5
4932,3d-printing-revolution,5
3511,3d-printing-revolution,5
203,3d-printing-revolution,5
3256,3d-printing-revolution,5
4219,3d-printing-revolution,4
4497,3d-printing-revolution,5
767,3d-printing-revolution,4
4390,3d-printing-revolution,5
2328,3d-printing-revolution,5
2932,3d-printing-revolution,5
198,3d-printing-revolution,4
1931,3d-printing-revolution,5
3583,3d-printing-revolution,5
609,3d-printing-revolution,5
3273,3d-printing-revolution,5
1148,3d-printing-revolution,5
4283,3d-printing-revolution,4
3398,3d-printing-revolution,5
2512,3d-printing-revolution,5
1795,3d-printing-revolution,5
660,3d-printing-revolution,5
2812,3d-printing-revolution,4
1370,3d-printing-revolution,5
1987,3d-printing-revolution,5
147,3d-printing-revolution,3
3220,3d-printing-revolution,5
2912,3d-printing-revolution,5
1735,3d-printing-revolution,5
1844,3d-printing-revolution,5
489,3d-printing-revolution,5
2977,3d-printing-revolution,5
1960,3d-printing-revolution,5
2386,3d-printing-revolution,5
2920,3d-printing-revolution,5
4737,3d-printing-revolution,5
1803,3d-printing-revolution,5
4062,3d-printing-revolution,5
3370,3d-printing-revolution,4
263,3d-printing-revolution,5
624,3d-printing-revolution,4
1017,3d-printing-revolution,5
3644,3d-printing-revolution,5
4977,3d-printing-revolution,5
2050,3d-printing-revolution,5
3724,3d-printing-revolution,5
4549,3d-printing-revolution,5
3109,3d-printing-revolution,5
4091,3d-printing-revolution,4
2057,3d-printing-revolution,5
3171,3d-printing-revolution,2
1683,3d-printing-revolution,5
2256,3d-printing-revolution,5
1155,3d-printing-revolution,5
4500,3d-printing-revolution,5
3192,3d-printing-revolution,5
1697,3d-printing-revolution,5
3992,3d-printing-revolution,5
4724,3d-printing-revolution,5
4683,3d-printing-revolution,5
1649,3d-printing-revolution,1
1446,3d-printing-revolution,5
4200,3d-printing-revolution,5
3924,3d-printing-revolution,5
254,3d-printing-revolution,5
3184,3d-printing-revolution,3
2558,3d-printing-revolution,5
99,3d-printing-revolution,5
2201,3d-printing-revolution,5
2962,3d-printing-revolution,5
4974,3d-printing-revolution,5
4434,3d-printing-revolution,4
3778,3d-printing-revolution,5
2870,3d-printing-revolution,5
3235,3d-printing-software,4
3792,3d-printing-software,5
957,3d-printing-software,4
4068,3d-printing-software,5
161,3d-printing-software,5
4494,3d-printing-software,3
1301,3d-printing-software,5
4912,3d-printing-software,5
3988,3d-printing-software,5
1528,3d-printing-software,3
1219,3d-printing-software,5
4497,3d-printing-software,4
4736,3d-printing-software,5
3105,3d-printing-software,5
2736,3d-printing-software,5
4556,3d-printing-software,5
955,3d-printing-software,5
4566,3d-printing-software,5
3447,3d-printing-software,2
1046,a-programar,5
1694,a-programar,5
3437,a-programar,5
563,a-programar,5
2486,a-programar,5
3355,a-programar,5
226,a-programar,5
4894,a-programar,3
960,a-programar,5
4549,a-programar,5
3068,a-programar,5
816,a-programar,5
4755,a-programar,5
4643,a-programar,4
3121,a-programar,4
17,a-programar,5
1244,a-programar,5
2206,a-programar,5
2525,a-programar,5
1070,a-programar,5
3445,a-programar,5
2566,a-programar,5
1061,a-programar,5
2328,a-programar,5
3421,a-programar,5
302,a-programar,4
4277,a-programar,5
607,a-programar,4
3171,a-programar,5
700,a-programar,5
1140,a-programar,5
191,a-programar,4
2301,a-programar,5
981,a-programar,5
2976,a-programar,5
1185,a-programar,5
3328,a-programar,5
3395,a-programar,5
128,a-programar,5
2066,a-programar,5
1817,a-programar,5
570,a-programar,5
1896,a-programar,5
2734,a-programar,5
3864,a-programar,5
4722,a-programar,1
4015,a-programar,5
2902,a-programar,5
1687,a-programar,5
3010,a-programar,5
155,a-programar,5
2538,a-programar,5
1410,a-programar,4
4058,a-programar,4
785,a-programar,5
